Team,Goals,Shots on target,Shots off target,Penalty goals,Penalties not scored,Goals conceded,Saves made,Fouls Won,Fouls Conceded,Offsides,Yellow Cards,Red Cards
Croatia,4,13,12,0,0,3,13,41,62,2,9,0
Czech Republic,4,13,18,0,0,6,9,53,73,8,7,0
Denmark,4,10,10,0,0,5,10,25,38,8,4,0
England,5,11,18,0,0,3,22,43,45,6,5,0
France,3,22,24,0,0,5,6,36,51,5,6,0
Germany,10,32,32,1,0,6,10,63,49,12,4,0
Greece,5,8,18,1,1,7,13,67,48,12,9,1
Italy,6,34,45,0,0,7,20,101,89,16,16,0
Netherlands,2,12,36,0,0,5,12,35,30,3,5,0
Poland,2,15,23,0,0,3,6,48,56,3,7,1
Portugal,6,22,42,0,0,4,10,73,90,10,12,0
Republic of Ireland,1,7,12,0,0,9,17,43,51,11,6,1
Russia,5,9,31,0,0,3,10,34,43,4,6,0
Spain,12,42,33,1,0,1,15,102,83,19,11,0
Sweden,5,17,19,0,0,5,8,35,51,7,7,0
Ukraine,2,7,26,0,0,4,13,48,31,4,5,0